combined,negative,neutral,positive,inc/dec
0.0,0.0,1.0,0.0,2.0
-0.03144999999999998,0.12150000000000001,0.8414999999999999,0.037,0.0
0.231475,0.0,0.90125,0.09875,0.0
0.0,0.0,1.0,0.0,0.0
0.20105,0.0,0.67225,0.32775,2.0
0.5901,0.0,0.48650000000000004,0.5135,0.0
-0.13547499999999998,0.099,0.651,0.25,2.0
0.01479999999999998,0.1215,0.762,0.1165,0.0
0.42837499999999995,0.02075,0.26675000000000004,0.7125,0.0
-0.2451833333333334,0.4063333333333334,0.5293333333333333,0.06433333333333334,2.0
0.1741,0.0,0.868,0.132,2.0
0.59265,0.0,0.7995,0.2005,2.0
0.3337666666666667,0.0,0.8883333333333333,0.11166666666666665,2.0
0.2202,0.0,0.5,0.5,0.0
0.0,0.0,1.0,0.0,2.0
-0.8208,0.486,0.514,0.0,0.0
0.21230000000000002,0.0,0.9485,0.0515,2.0
0.0455909090909091,0.15172727272727274,0.6514545454545455,0.1968181818181818,2.0
0.34005,0.0,0.9115,0.0885,0.0
0.3282333333333333,0.021416666666666667,0.6708333333333334,0.3076666666666667,0.0
0.04136666666666666,0.04841666666666666,0.67775,0.2738333333333333,0.0
0.35370000000000007,0.034666666666666665,0.818,0.14766666666666667,2.0
-0.25,0.143,0.857,0.0,2.0
0.3818,0.0,0.809,0.191,2.0
0.2701,0.0,0.8708333333333332,0.12916666666666668,0.0
0.3182,0.0,0.635,0.365,0.0
0.8705,0.0,0.71,0.29,0.0
0.0757,0.199,0.578,0.223,2.0
0.85,0.0,0.65,0.35,2.0
0.28945,0.0,0.9259999999999999,0.074,2.0
0.0,0.0,1.0,0.0,0.0
0.8126,0.0,0.543,0.457,2.0
0.2446,0.0565,0.8395,0.10400000000000001,0.0
0.051019999999999996,0.0602,0.6664,0.07339999999999999,0.0
0.15798,0.0,0.3364,0.2636,2.0
0.33420666666666665,0.04326666666666667,0.6144666666666667,0.2756,0.0
0.0,0.0,0.0,0.0,2.0
0.0,0.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,2.0
0.29041666666666666,0.028833333333333332,0.6345833333333334,0.3365833333333333,0.0
0.0,0.0,1.0,0.0,0.0
-0.09866666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.08808,0.0,0.8,0.2,0.0
0.1249,0.0,0.7633333333333333,0.23666666666666666,0.0
0.12129999999999999,0.04385714285714286,0.8724285714285714,0.08371428571428571,2.0
0.1749153846153846,0.0,0.8883076923076924,0.11169230769230769,2.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0
0.06617142857142858,0.03585714285714286,0.8978571428571429,0.06628571428571428,0.0
0.6369,0.0,0.323,0.677,0.0
-0.5994,0.159,0.841,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.3182,0.0,0.723,0.277,2.0
0.17656,0.0658,0.8268000000000001,0.10740000000000001,2.0
0.2732,0.0,0.488,0.512,0.0
0.31398333333333334,0.032999999999999995,0.852,0.11499999999999999,2.0
-0.0036599999999999966,0.05820000000000001,0.8789,0.0629,2.0
0.0,0.0415,0.8600000000000001,0.0985,2.0
0.27115,0.032,0.894,0.074,0.0
0.19156666666666666,0.0625,0.8218333333333333,0.1155,2.0
-0.802,0.254,0.746,0.0,0.0
0.0,0.0,1.0,0.0,2.0
0.35113333333333335,0.034833333333333334,0.8128333333333333,0.15233333333333332,2.0
0.0,0.0,1.0,0.0,0.0
0.4939,0.0,0.6950000000000001,0.305,0.0
0.28595,0.0,0.865,0.135,2.0
0.23825,0.155,0.5495,0.2955,2.0
0.05195999999999999,0.0866,0.8385999999999999,0.0748,0.0
0.7299000000000001,0.0,0.7363333333333334,0.26366666666666666,0.0
0.4017,0.0,0.8223333333333334,0.17766666666666664,2.0
-0.25756666666666667,0.207,0.793,0.0,2.0
-0.23145000000000002,0.131,0.7315,0.1375,2.0
0.3785,0.03266666666666667,0.6476666666666667,0.31933333333333336,0.0
0.0,0.0,1.0,0.0,0.0
0.2202,0.0,0.628,0.372,0.0
0.38155,0.0,0.4675,0.5325,2.0
0.37833333333333335,0.07433333333333333,0.5863333333333334,0.3396666666666666,0.0
0.0,0.0,1.0,0.0,0.0
0.521,0.1125,0.461,0.4265,2.0
0.0,0.0,1.0,0.0,0.0
-0.148,0.0775,0.861,0.0615,0.0
0.19323636363636362,0.14409090909090908,0.5264545454545455,0.32945454545454544,0.0
0.095175,0.12525,0.51825,0.35675,2.0
0.11896875,0.06268750000000001,0.7551875,0.182125,0.0
0.23099999999999998,0.037125000000000005,0.774625,0.18812500000000001,2.0
0.08523999999999998,0.2864,0.619,0.09459999999999999,0.0
0.4019,0.0,0.891,0.109,0.0
0.303525,0.0,0.77525,0.22475,0.0
0.9014,0.0,0.635,0.365,0.0
0.4215,0.0,0.741,0.259,0.0
-0.007900000000000004,0.11699999999999999,0.6641666666666667,0.21883333333333335,0.0
0.1261307692307692,0.038538461538461535,0.7789230769230768,0.18246153846153845,2.0
0.0,0.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,2.0
0.2263,0.0,0.84,0.16,2.0
0.1585,0.0,0.9458333333333333,0.05416666666666667,0.0
0.08605,0.034375,0.903125,0.062375,2.0
0.19864285714285715,0.041999999999999996,0.7472857142857142,0.2105714285714286,2.0
0.0,0.0,1.0,0.0,2.0
0.0,0.0,1.0,0.0,0.0
0.6242000000000001,0.0,0.369,0.631,0.0
-0.13283333333333333,0.16016666666666668,0.7176666666666667,0.122,2.0
-0.2732,0.246,0.615,0.138,0.0
0.5778,0.055,0.797,0.148,0.0
0.15713749999999999,0.11825000000000001,0.794125,0.087625,0.0
0.2023,0.0,0.625,0.375,0.0
0.0,0.0,1.0,0.0,2.0
0.46735,0.0215,0.7555000000000001,0.223,2.0
0.2235,0.0,0.9606666666666667,0.03933333333333333,0.0
0.6948000000000001,0.0,0.63,0.37,2.0
0.37139999999999995,0.0,0.8403333333333333,0.15966666666666665,2.0
0.0,0.0,1.0,0.0,1.0
0.2083,0.0,0.8313333333333333,0.16866666666666666,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0
0.296,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,2.0
0.11734,0.0,0.8628,0.1372,0.0
0.23422500000000002,0.037375,0.7974375,0.1651875,0.0
-0.28595,0.1555,0.7969999999999999,0.048,2.0
0.26444666666666666,0.0404,0.6225333333333333,0.3370666666666667,0.0
0.16938333333333333,0.034333333333333334,0.7781666666666666,0.1875,0.0
0.12631666666666666,0.0635,0.8326666666666666,0.10366666666666667,2.0
0.3701272727272728,0.00818181818181818,0.749909090909091,0.2419090909090909,2.0
0.0,0.079,0.842,0.079,0.0
0.4940166666666667,0.033999999999999996,0.8253333333333334,0.14066666666666666,2.0
0.22174,0.020999999999999998,0.9012,0.0776,0.0
0.5719,0.135,0.558,0.307,2.0
-0.7101,0.255,0.6285000000000001,0.1165,0.0
0.03539411764705882,0.10658823529411765,0.6601764705882354,0.23329411764705882,0.0
-0.07816666666666666,0.07933333333333333,0.5873333333333334,0.3333333333333333,0.0
