,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26 07:15:00+00:00,37214.40625,85.47000122070312,,,,,37214.40625,85.47000122070312,,,,,37274.30859375,85.55000305175781,,,,,37209.5625,85.45999908447266,,,,,37222.45703125,85.54000091552734,,,,,49469440,1210.0,,,,
2022-01-26 07:30:00+00:00,37338.11328125,85.66000366210938,,,,,37338.11328125,85.66000366210938,,,,,37338.11328125,85.66000366210938,,,,,37214.5390625,85.47000122070312,,,,,37214.5390625,85.47000122070312,,,,,73316352,1251.0,,,,
2022-01-26 07:45:00+00:00,37344.33203125,85.76000213623047,,,,,37344.33203125,85.76000213623047,,,,,37362.33203125,85.87999725341797,,,,,37313.19140625,85.62999725341797,,,,,37348.3203125,85.6500015258789,,,,,79484928,2968.0,,,,
2022-01-26 08:00:00+00:00,37482.9296875,85.8499984741211,,,,,37482.9296875,85.8499984741211,,,,,37487.82421875,85.87999725341797,,,,,37347.96484375,85.69999694824219,,,,,37347.96484375,85.76000213623047,,,,,21508096,2440.0,,,,
2022-01-26 08:15:00+00:00,37535.796875,85.91999816894531,,,,,37535.796875,85.91999816894531,,,,,37556.59765625,85.91999816894531,,,,,37485.3515625,85.76000213623047,,,,,37485.3515625,85.83999633789062,,,,,0,2890.0,,,,
2022-01-26 08:30:00+00:00,37623.13671875,85.87999725341797,,,,,37623.13671875,85.87999725341797,,,,,37638.890625,85.95999908447266,,,,,37544.515625,85.73999786376953,,,,,37544.515625,85.91000366210938,,,,,19939328,3306.0,,,,
2022-01-26 08:45:00+00:00,37592.375,85.86000061035156,,,,,37592.375,85.86000061035156,,,,,37614.0390625,85.88999938964844,,,,,37533.5625,85.76000213623047,,,,,37614.0390625,85.87999725341797,,,,,7274496,2122.0,,,,
2022-01-26 09:00:00+00:00,37680.765625,85.94000244140625,,,,,37680.765625,85.94000244140625,,,,,37682.23828125,85.95999908447266,,,,,37587.45703125,85.80999755859375,,,,,37597.75,85.8499984741211,,,,,34426880,2435.0,,,,
2022-01-26 09:15:00+00:00,37808.58984375,86.05000305175781,,,,,37808.58984375,86.05000305175781,,,,,37895.53515625,86.12999725341797,,,,,37690.1640625,85.93000030517578,,,,,37690.1640625,85.94000244140625,,,,,325300224,4268.0,,,,
2022-01-26 09:30:00+00:00,37787.68359375,86.05999755859375,,,,,37787.68359375,86.05999755859375,,,,,37808.0703125,86.12000274658203,,,,,37734.515625,85.9000015258789,,,,,37808.0703125,86.05000305175781,,,,,0,2105.0,,,,
2022-01-26 09:45:00+00:00,37716.54296875,86.12000274658203,,,,,37716.54296875,86.12000274658203,,,,,37853.48046875,86.12999725341797,,,,,37699.81640625,85.94999694824219,,,,,37791.60546875,86.05999755859375,,,,,70322176,1603.0,,,,
2022-01-26 10:00:00+00:00,37705.98046875,86.13999938964844,,,,,37705.98046875,86.13999938964844,,,,,37751.1875,86.25,,,,,37643.9765625,86.11000061035156,,,,,37708.80078125,86.12000274658203,,,,,0,2316.0,,,,
2022-01-26 10:15:00+00:00,37748.6484375,86.12999725341797,,,,,37748.6484375,86.12999725341797,,,,,37748.6484375,86.18000030517578,,,,,37683.81640625,86.02999877929688,,,,,37712.9921875,86.12999725341797,,,,,0,1562.0,,,,
2022-01-26 10:30:00+00:00,37832.27734375,86.04000091552734,,,,,37832.27734375,86.04000091552734,,,,,37832.27734375,86.13999938964844,,,,,37741.3671875,86.0,,,,,37741.3671875,86.12999725341797,,,,,6152192,1900.0,,,,
2022-01-26 10:45:00+00:00,37925.62109375,86.08999633789062,,,,,37925.62109375,86.08999633789062,,,,,37925.62109375,86.20999908447266,,,,,37850.0546875,86.04000091552734,,,,,37871.375,86.04000091552734,,,,,122812416,1514.0,,,,
2022-01-26 11:00:00+00:00,37860.4453125,86.1500015258789,,,,,37860.4453125,86.1500015258789,,,,,38046.56640625,86.2699966430664,,,,,37860.4453125,86.08999633789062,,,,,37988.60546875,86.08999633789062,,,,,364949504,1900.0,,,,
2022-01-26 11:15:00+00:00,37847.59375,86.0,,,,,37847.59375,86.0,,,,,37879.91796875,86.19000244140625,,,,,37836.71484375,85.9800033569336,,,,,37862.27734375,86.13999938964844,,,,,21172224,1519.0,,,,
2022-01-26 11:30:00+00:00,37927.76171875,85.98999786376953,,,,,37927.76171875,85.98999786376953,,,,,37964.33984375,86.05000305175781,,,,,37890.7578125,85.91000366210938,,,,,37890.7578125,86.01000213623047,,,,,167727104,1960.0,,,,
2022-01-26 11:45:00+00:00,38040.921875,86.0999984741211,,,,,38040.921875,86.0999984741211,,,,,38058.41015625,86.16999816894531,,,,,37969.0078125,85.97000122070312,,,,,37978.9296875,85.98999786376953,,,,,89604096,2046.0,,,,
2022-01-26 12:00:00+00:00,37977.4375,86.30000305175781,,,,,37977.4375,86.30000305175781,,,,,38079.75,86.3499984741211,,,,,37971.30078125,86.05999755859375,,,,,38079.75,86.0999984741211,,,,,3028992,5206.0,,,,
2022-01-26 12:15:00+00:00,37863.63671875,86.44000244140625,,,,,37863.63671875,86.44000244140625,,,,,37967.09375,86.45999908447266,,,,,37863.63671875,86.19000244140625,,,,,37967.09375,86.30000305175781,,,,,6311936,3375.0,,,,
2022-01-26 12:30:00+00:00,37869.140625,86.41999816894531,,,,,37869.140625,86.41999816894531,,,,,37930.3046875,86.54000091552734,,,,,37860.25,86.37000274658203,,,,,37862.109375,86.44999694824219,,,,,69095424,4032.0,,,,
2022-01-26 12:45:00+00:00,37833.390625,86.38999938964844,,,,,37833.390625,86.38999938964844,,,,,37868.265625,86.43000030517578,,,,,37833.390625,86.30000305175781,,,,,37868.265625,86.41999816894531,,,,,43962368,2880.0,,,,
2022-01-26 13:00:00+00:00,37819.29296875,86.88999938964844,,,,,37819.29296875,86.88999938964844,,,,,37905.73828125,86.94999694824219,,,,,37795.6640625,86.37000274658203,,,,,37833.28125,86.37999725341797,,,,,288370688,17200.0,,,,
2022-01-26 13:15:00+00:00,37951.7109375,86.91000366210938,,,,,37951.7109375,86.91000366210938,,,,,37951.7109375,86.9800033569336,,,,,37773.77734375,86.70999908447266,,,,,37797.76171875,86.9000015258789,,,,,175431680,8271.0,,,,
2022-01-26 13:30:00+00:00,37983.98046875,86.87999725341797,,,,,37983.98046875,86.87999725341797,,,,,37995.24609375,87.19999694824219,,,,,37952.30859375,86.76000213623047,,,,,37960.1484375,86.91000366210938,,,,,87701504,11534.0,,,,
2022-01-26 13:45:00+00:00,38130.16015625,86.88999938964844,,,,,38130.16015625,86.88999938964844,,,,,38200.8046875,87.01000213623047,,,,,37986.75,86.80000305175781,,,,,37986.96875,86.88999938964844,,,,,401727488,4413.0,,,,
2022-01-26 14:00:00+00:00,38333.45703125,86.5199966430664,,,,,38333.45703125,86.5199966430664,,,,,38383.66796875,87.02999877929688,,,,,38153.9921875,86.45999908447266,,,,,38153.9921875,86.88999938964844,,,,,326725632,11832.0,,,,
2022-01-26 14:15:00+00:00,38394.390625,86.43000030517578,,,,,38394.390625,86.43000030517578,,,,,38438.4140625,86.66000366210938,,,,,38360.84375,86.33999633789062,,,,,38360.84375,86.5199966430664,,,,,176590848,10283.0,,,,
2022-01-26 14:30:00+00:00,38251.51171875,86.55999755859375,943.1799926757812,4406.64990234375,20763.740234375,13762.1767578125,38251.51171875,86.55999755859375,943.1799926757812,4406.64990234375,20763.740234375,13762.1767578125,38427.10546875,86.72000122070312,956.9498901367188,4424.77001953125,20786.9296875,13888.9111328125,38239.9296875,86.27999877929688,939.0,4403.02001953125,20738.580078125,13756.41796875,38421.36328125,86.43000030517578,952.4299926757812,4408.43017578125,20781.30078125,13868.869140625,0,9723.0,3187911.0,93410340.0,10044921.0,178272877.0
