,Date,Label,Price
124,2017-04-03,OPEN,57.380001068115234
125,2017-04-03,CLOSE,59.70399856567383
126,2017-04-04,OPEN,59.37799835205078
127,2017-04-04,CLOSE,60.7400016784668
128,2017-04-05,OPEN,60.40800094604492
129,2017-04-05,CLOSE,59.0
130,2017-04-06,OPEN,59.3759994506836
131,2017-04-06,CLOSE,59.7400016784668
132,2017-04-07,OPEN,59.5
133,2017-04-07,CLOSE,60.507999420166016
134,2017-04-10,OPEN,61.83000183105469
135,2017-04-10,CLOSE,62.47800064086914
136,2017-04-11,OPEN,62.67599868774414
137,2017-04-11,CLOSE,61.742000579833984
138,2017-04-12,OPEN,61.26800155639648
139,2017-04-12,CLOSE,59.36800003051758
140,2017-04-13,OPEN,59.34000015258789
141,2017-04-13,CLOSE,60.79999923706055
142,2017-04-17,OPEN,60.540000915527344
143,2017-04-17,CLOSE,60.28799819946289
144,2017-04-18,OPEN,59.93999862670898
145,2017-04-18,CLOSE,60.04999923706055
146,2017-04-19,OPEN,60.492000579833984
147,2017-04-19,CLOSE,61.104000091552734
148,2017-04-20,OPEN,61.30199813842773
149,2017-04-20,CLOSE,60.50199890136719
150,2017-04-21,OPEN,60.400001525878906
151,2017-04-21,CLOSE,61.119998931884766
152,2017-04-24,OPEN,61.84400177001953
153,2017-04-24,CLOSE,61.60599899291992
154,2017-04-25,OPEN,61.59999847412109
155,2017-04-25,CLOSE,62.757999420166016
156,2017-04-26,OPEN,62.4739990234375
157,2017-04-26,CLOSE,62.03400039672852
158,2017-04-27,OPEN,62.3380012512207
159,2017-04-27,CLOSE,61.72600173950195
160,2017-04-28,OPEN,61.96599960327149
161,2017-04-28,CLOSE,62.81399917602539
162,2017-05-01,OPEN,62.97600173950195
163,2017-05-01,CLOSE,64.56600189208984
164,2017-05-02,OPEN,64.80000305175781
165,2017-05-02,CLOSE,63.77799987792969
166,2017-05-03,OPEN,63.53400039672852
167,2017-05-03,CLOSE,62.20399856567383
168,2017-05-04,OPEN,61.48799896240234
169,2017-05-04,CLOSE,59.09199905395508
170,2017-05-05,OPEN,59.59999847412109
171,2017-05-05,CLOSE,61.66999816894531
172,2017-05-08,OPEN,62.18000030517578
173,2017-05-08,CLOSE,61.4379997253418
174,2017-05-09,OPEN,61.8759994506836
175,2017-05-09,CLOSE,64.25199890136719
176,2017-05-10,OPEN,64.31199645996094
177,2017-05-10,CLOSE,65.04399871826172
178,2017-05-11,OPEN,64.68000030517578
179,2017-05-11,CLOSE,64.62000274658203
180,2017-05-12,OPEN,65.09600067138672
181,2017-05-12,CLOSE,64.96199798583984
182,2017-05-15,OPEN,63.67599868774414
183,2017-05-15,CLOSE,63.17599868774414
184,2017-05-16,OPEN,63.51800155639648
185,2017-05-16,CLOSE,63.402000427246094
186,2017-05-17,OPEN,62.87799835205078
187,2017-05-17,CLOSE,61.22200012207031
188,2017-05-18,OPEN,61.400001525878906
189,2017-05-18,CLOSE,62.61199951171875
190,2017-05-19,OPEN,63.09999847412109
191,2017-05-19,CLOSE,62.16600036621094
192,2017-05-22,OPEN,62.560001373291016
193,2017-05-22,CLOSE,62.06999969482422
194,2017-05-23,OPEN,62.09199905395508
195,2017-05-23,CLOSE,60.77199935913086
196,2017-05-24,OPEN,61.30199813842773
197,2017-05-24,CLOSE,62.04399871826172
