,Open,High,Low,Close,Adj Close,Volume
2021-01-04 09:30:00-05:00,719.4600219726562,743.0,717.1895141601562,740.030029296875,740.030029296875,16179436
2021-01-04 10:30:00-05:00,740.0,744.4899291992188,728.260009765625,735.6199951171875,735.6199951171875,8507263
2021-01-04 11:30:00-05:00,735.4500122070312,735.75,718.030029296875,723.6099853515625,723.6099853515625,7001655
2021-01-04 12:30:00-05:00,723.760009765625,731.989990234375,719.9000244140625,731.1649780273438,731.1649780273438,4484030
2021-01-04 13:30:00-05:00,731.1099853515625,736.490478515625,726.2501220703125,727.469970703125,727.469970703125,3906976
2021-01-04 14:30:00-05:00,727.2899780273438,732.6799926757812,724.280029296875,730.7913208007812,730.7913208007812,3745736
2021-01-04 15:30:00-05:00,730.85498046875,732.780029296875,728.25,729.75,729.75,2459595
2021-01-05 09:30:00-05:00,723.6599731445312,735.6799926757812,719.2000122070312,732.0700073242188,732.0700073242188,10442782
2021-01-05 10:30:00-05:00,732.0,738.8983154296875,730.5499877929688,738.5900268554688,738.5900268554688,4995208
2021-01-05 11:30:00-05:00,738.7799072265625,740.8400268554688,733.530029296875,737.6699829101562,737.6699829101562,3805071
2021-01-05 12:30:00-05:00,737.6699829101562,740.5999755859375,735.1500854492188,738.7369995117188,738.7369995117188,2736774
2021-01-05 13:30:00-05:00,738.72998046875,740.530029296875,737.0,738.3287963867188,738.3287963867188,1920131
2021-01-05 14:30:00-05:00,738.4000244140625,739.4000244140625,733.5999755859375,735.9000244140625,735.9000244140625,2556215
2021-01-05 15:30:00-05:00,735.9000244140625,736.7999877929688,731.1199951171875,735.0549926757812,735.0549926757812,2583717
2021-01-06 09:30:00-05:00,760.0,761.4998779296875,749.0999755859375,757.3092041015625,757.3092041015625,12573945
2021-01-06 10:30:00-05:00,757.2504272460938,769.97998046875,755.5100708007812,769.4199829101562,769.4199829101562,7632821
2021-01-06 11:30:00-05:00,769.614990234375,773.7498779296875,768.4000244140625,771.1445922851562,771.1445922851562,5231675
2021-01-06 12:30:00-05:00,771.1799926757812,772.5,768.341796875,769.6904296875,769.6904296875,2642121
2021-01-06 13:30:00-05:00,769.614990234375,774.0,764.4000244140625,764.5,764.5,3645134
2021-01-06 14:30:00-05:00,764.510009765625,767.9299926757812,750.0,758.6799926757812,758.6799926757812,8285672
2021-01-06 15:30:00-05:00,758.530029296875,761.9500122070312,755.0,756.4600219726562,756.4600219726562,3161001
2021-01-07 09:30:00-05:00,776.6599731445312,794.010009765625,775.2000122070312,788.9099731445312,788.9099731445312,13246584
2021-01-07 10:30:00-05:00,788.9099731445312,811.6099853515625,788.8099975585938,807.4400024414062,807.4400024414062,11396735
2021-01-07 11:30:00-05:00,807.4461059570312,808.0770263671875,797.72998046875,799.8121948242188,799.8121948242188,5652579
2021-01-07 12:30:00-05:00,800.0900268554688,801.6400146484375,795.3099975585938,799.5599975585938,799.5599975585938,3737545
