Date,combined,combined,combined,negative,negative,negative,neutral,neutral,neutral,positive,positive,positive,CL=FDirection,GSPCDirection,GSPTSEDirection,IXICDirection,BTC-USDDirection,TSLADirection
,count,mean,var,count,mean,var,count,mean,var,count,mean,var,mean,mean,mean,mean,mean,mean
2022-01-28 12:00:00,1,-0.7351,,1,0.211,,1,0.789,,1,0.0,,2.0,2.0,2.0,2.0,0.0,2.0
2022-01-28 12:30:00,1,-0.5423,,1,0.226,,1,0.774,,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28 13:00:00,2,-0.37845,0.152076125,2,0.128,0.004607999999999998,2,0.8180000000000001,0.020808000000000024,2,0.0535,0.0057244999999999996,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28 13:30:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
2022-01-28 13:45:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,2.0,2.0,2.0,2.0,0.0
2022-01-28 14:00:00,2,-0.02460000000000001,0.12590162000000002,2,0.1185,0.00014450000000000015,2,0.7969999999999999,0.017298,2,0.0845,0.014280500000000002,0.0,2.0,2.0,2.0,2.0,0.0
2022-01-28 14:15:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28 14:30:00,1,0.6124,,1,0.0,,1,0.75,,1,0.25,,2.0,0.0,0.0,0.0,0.0,0.0
2022-01-28 14:45:00,1,0.6808,,1,0.0,,1,0.862,,1,0.138,,2.0,2.0,2.0,2.0,2.0,2.0
2022-01-28 15:00:00,1,0.128,,1,0.181,,1,0.604,,1,0.215,,2.0,2.0,2.0,2.0,2.0,2.0
2022-01-28 15:15:00,1,0.128,,1,0.0,,1,0.865,,1,0.135,,2.0,2.0,0.0,2.0,2.0,0.0
2022-01-31 09:30:00,28,0.09845714285714287,0.25429867365079367,28,0.09617857142857143,0.00889948544973545,28,0.777,0.01702814814814815,28,0.12689285714285714,0.011623728835978835,2.0,2.0,2.0,2.0,0.0,2.0
2022-01-31 09:45:00,1,-0.3182,,1,0.078,,1,0.922,,1,0.0,,0.0,2.0,2.0,2.0,2.0,2.0
2022-01-31 10:00:00,1,0.1901,,1,0.0,,1,0.889,,1,0.111,,0.0,2.0,2.0,2.0,2.0,2.0
2022-01-31 10:30:00,3,-0.2574666666666667,0.1300890633333333,3,0.08833333333333333,0.0070423333333333345,3,0.8693333333333334,0.01364633333333332,3,0.042,0.001348,0.0,0.0,0.0,0.0,2.0,2.0
2022-01-31 11:00:00,2,-0.148,0.04380799999999999,2,0.025,0.0012500000000000002,2,0.975,0.0012500000000000022,2,0.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0
2022-01-31 11:15:00,4,-0.02305,0.3195948033333333,4,0.11925,0.008432916666666667,4,0.782,0.028744000000000023,4,0.09899999999999999,0.018348666666666666,2.0,0.0,2.0,0.0,2.0,0.0
2022-01-31 11:30:00,4,0.17,0.038533333333333336,4,0.0,0.0,4,0.96025,0.002126916666666665,4,0.03975,0.0021269166666666667,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-31 11:45:00,2,-0.41674999999999995,0.39170100499999994,2,0.1775,0.008320499999999998,2,0.7635000000000001,6.04999999999995e-05,2,0.059,0.0069619999999999994,0.0,2.0,2.0,2.0,2.0,2.0
2022-01-31 12:00:00,3,-0.26916666666666667,0.1873603033333333,3,0.15733333333333333,0.0006413333333333331,3,0.7203333333333334,0.012561333333333351,3,0.12266666666666666,0.007640333333333332,2.0,2.0,2.0,2.0,2.0,0.0
2022-01-31 12:15:00,1,0.7579,,1,0.0,,1,0.8,,1,0.2,,2.0,0.0,0.0,0.0,2.0,0.0
2022-01-31 12:30:00,1,0.5719,,1,0.0,,1,0.86,,1,0.14,,2.0,2.0,2.0,2.0,0.0,2.0
2022-01-31 12:45:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,2.0,2.0,2.0,2.0,0.0,2.0
2022-01-31 13:00:00,1,0.631,,1,0.0,,1,0.847,,1,0.153,,2.0,2.0,2.0,2.0,2.0,2.0
2022-01-31 13:30:00,1,-0.2023,,1,0.153,,1,0.847,,1,0.0,,2.0,0.0,2.0,0.0,0.0,0.0
2022-01-31 14:00:00,1,0.7783,,1,0.0,,1,0.799,,1,0.201,,2.0,2.0,2.0,2.0,2.0,2.0
2022-01-31 14:30:00,1,-0.4019,,1,0.222,,1,0.649,,1,0.13,,2.0,2.0,2.0,2.0,2.0,2.0
2022-01-31 15:00:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,2.0,0.0,2.0,0.0,0.0,2.0
2022-01-31 16:00:00,1,0.0772,,1,0.0,,1,0.936,,1,0.064,,2.0,,,,2.0,
2022-02-01 09:30:00,23,-0.008769565217391301,0.0978295603952569,23,0.06852173913043479,0.008191442687747035,23,0.8683478260869566,0.01978796442687747,23,0.0631304347826087,0.005772118577075099,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-01 09:45:00,1,0.4249,,1,0.057,,1,0.772,,1,0.171,,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01 10:00:00,1,0.6369,,1,0.076,,1,0.756,,1,0.169,,2.0,2.0,2.0,2.0,0.0,2.0
2022-02-01 10:15:00,1,-0.4939,,1,0.262,,1,0.738,,1,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-01 10:30:00,2,0.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
2022-02-01 11:00:00,1,0.9358,,1,0.0,,1,0.677,,1,0.323,,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-01 11:30:00,2,-0.08895,0.015824205,2,0.0375,0.0028125,2,0.9625,0.002812499999999997,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2022-02-01 11:45:00,1,-0.4404,,1,0.182,,1,0.818,,1,0.0,,0.0,2.0,2.0,2.0,2.0,0.0
2022-02-01 12:00:00,1,0.34,,1,0.0,,1,0.862,,1,0.138,,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-01 12:15:00,3,0.0598,0.15144652,3,0.05566666666666667,0.009296333333333334,3,0.9063333333333333,0.007282333333333337,3,0.038,0.004332000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01 12:30:00,1,0.128,,1,0.0,,1,0.897,,1,0.103,,0.0,2.0,2.0,2.0,0.0,0.0
2022-02-01 13:00:00,2,-0.7301,0.0008405000000000038,2,0.2225,0.00026450000000000047,2,0.7775000000000001,0.00026450000000000177,2,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-01 13:30:00,2,0.23775000000000002,0.0025134049999999985,2,0.036,0.0025919999999999997,2,0.862,0.0035280000000000064,2,0.10200000000000001,7.199999999999988e-05,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-01 14:00:00,1,-0.1655,,1,0.093,,1,0.907,,1,0.0,,0.0,0.0,2.0,0.0,0.0,0.0
2022-02-01 14:15:00,1,0.875,,1,0.069,,1,0.603,,1,0.328,,2.0,0.0,2.0,0.0,0.0,2.0
2022-02-01 14:30:00,3,0.021466666666666672,0.13101201333333332,3,0.03133333333333333,0.0029453333333333337,3,0.8673333333333334,0.006162333333333332,3,0.10133333333333333,0.012742333333333335,2.0,0.0,2.0,0.0,0.0,0.0
2022-02-01 14:45:00,1,0.0258,,1,0.0,,1,0.901,,1,0.099,,0.0,2.0,0.0,2.0,0.0,2.0
2022-02-01 15:00:00,2,0.2787,0.15534738,2,0.0,0.0,2,0.927,0.010657999999999994,2,0.073,0.010657999999999999,0.0,2.0,2.0,0.0,2.0,0.0
2022-02-01 15:15:00,1,-0.2732,,1,0.189,,1,0.811,,1,0.0,,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-01 15:30:00,2,0.17745,0.156968045,2,0.0455,0.0041405,2,0.8475,0.0075645,2,0.107,0.022897999999999998,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-01 15:45:00,3,0.3528,0.10495017,3,0.035666666666666666,0.003816333333333333,3,0.834,0.030667,3,0.13033333333333333,0.014902333333333337,2.0,2.0,0.0,2.0,2.0,0.0
2022-02-01 16:00:00,1,0.34,,1,0.0,,1,0.888,,1,0.112,,2.0,,,,0.0,
2022-02-02 09:30:00,101,0.09658514851485149,0.1941047500772276,101,0.07321782178217821,0.011255332079207918,101,0.8052376237623762,0.02243812297029703,101,0.12157425742574257,0.016281326930693066,0.0,2.0,2.0,2.0,0.0,0.0
2022-02-02 09:45:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,2.0,0.0,2.0,0.0,0.0,0.0
2022-02-02 10:00:00,2,-0.1591,0.050625619999999996,2,0.053,0.005618,2,0.913,0.015137999999999999,2,0.034,0.0023120000000000003,0.0,0.0,0.0,2.0,0.0,2.0
2022-02-02 10:15:00,1,0.7351,,1,0.0,,1,0.493,,1,0.507,,2.0,2.0,2.0,2.0,0.0,2.0
